ID,Similarity_score,Community
1,0.5599999999999999,Anti Eating Disorder
2,0.6666666666666666,Anti Eating Disorder
3,0.6666666666666666,Anti Eating Disorder
4,0.8000000000000002,Anti Eating Disorder
5,0.2702702702702703,Anti Eating Disorder
6,0.6,Anti Eating Disorder
7,0.9333333333333333,Anti Eating Disorder
8,0.025078369905956115,Anti Eating Disorder
9,0.6,Anti Eating Disorder
10,0.27586206896551724,Anti Eating Disorder
11,0.7555555555555556,Anti Eating Disorder
12,0.6666666666666667,Anti Eating Disorder
13,0.9333333333333333,Anti Eating Disorder
14,0.3076923076923077,Anti Eating Disorder
15,0.042056074766355145,Anti Eating Disorder
16,0.3636363636363636,Anti Eating Disorder
17,0.6206896551724139,Anti Eating Disorder
18,0.1894736842105263,Anti Eating Disorder
19,0.24000000000000005,Anti Eating Disorder
20,0.64,Anti Eating Disorder
21,0.24242424242424243,Anti Eating Disorder
22,0.6976744186046512,Anti Eating Disorder
23,0.4,Anti Eating Disorder
24,0.3636363636363636,Anti Eating Disorder
25,0.37499999999999994,Anti Eating Disorder
26,0.7777777777777778,Anti Eating Disorder
27,0.9333333333333333,Anti Eating Disorder
28,0.5714285714285715,Anti Eating Disorder
29,0.12121212121212123,Anti Eating Disorder
30,0.2962962962962963,Anti Eating Disorder
31,1.0,Anti Eating Disorder
32,0.6153846153846154,Anti Eating Disorder
33,0.4545454545454546,Anti Eating Disorder
34,1.0,Anti Eating Disorder
35,0.5714285714285715,Anti Eating Disorder
36,0.4210526315789474,Anti Eating Disorder
37,0.761904761904762,Anti Eating Disorder
38,0.489795918367347,Anti Eating Disorder
39,0.36363636363636365,Anti Eating Disorder
40,0.3225806451612903,Anti Eating Disorder
41,0.34285714285714286,Anti Eating Disorder
42,0.9333333333333333,Anti Eating Disorder
43,0.6,Anti Eating Disorder
44,0.15384615384615383,Anti Eating Disorder
45,0.2,Anti Eating Disorder
46,0.9333333333333333,Anti Eating Disorder
47,0.3076923076923077,Anti Eating Disorder
48,0.3,Anti Eating Disorder
49,1.0,Anti Eating Disorder
50,0.5,Anti Eating Disorder
51,0.3333333333333333,Anti Eating Disorder
52,0.2,Anti Eating Disorder
53,0.16000000000000003,Anti Eating Disorder
54,0.5714285714285715,Anti Eating Disorder
55,0.46511627906976744,Anti Eating Disorder
56,0.3076923076923077,Anti Eating Disorder
57,0.27999999999999997,Anti Eating Disorder
58,0.23255813953488377,Anti Eating Disorder
59,0.6060606060606061,Anti Eating Disorder
60,0.4615384615384615,Anti Eating Disorder
61,0.3076923076923077,Anti Eating Disorder
62,0.6666666666666666,Anti Eating Disorder
63,0.2727272727272727,Anti Eating Disorder
